Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Customer_Segment
17,15,114.0,3,1,1,311,Loyal Customers
300,1,-4.5,1,1,1,111,Lost Customers
232,23,73.5,1,2,1,121,Lost Customers
133,23,1258.06,2,2,3,223,Almost Lost
25,69,398.27,3,3,2,332,Lost Customers
283,7,176.5,1,1,1,111,Lost Customers
142,33,982.5699999999999,2,2,3,223,Almost Lost
65,34,138.03,2,2,1,221,Almost Lost
84,36,586.79,2,2,2,222,Almost Lost
266,51,1017.68,1,3,3,133,Big Spenders
352,16,383.7,1,1,2,112,Lost Customers
77,26,1312.06,2,2,3,223,Almost Lost
27,286,2464.89,3,4,4,344,Best Customers
0,124,2056.89,4,4,4,444,Best Customers
63,18,340.84,2,2,2,222,Almost Lost
78,155,2582.51,2,4,4,244,Big Spenders
142,38,599.68,2,2,2,222,Almost Lost
38,12,192.72,3,1,1,311,Loyal Customers
1,110,1745.57,4,4,4,444,Best Customers
8,144,4485.72,4,4,4,444,Best Customers
0,71,1316.66,4,3,3,433,Best Customers
81,18,348.71000000000004,2,2,2,222,Almost Lost
8,95,1922.28,4,3,4,434,Best Customers
59,68,1623.63,2,3,4,234,Big Spenders
14,17,125.22,4,1,1,411,Loyal Customers
29,16,349.83000000000004,3,1,2,312,Loyal Customers
130,63,1089.18,2,3,3,233,Big Spenders
91,34,716.35,2,2,3,223,Almost Lost
7,273,4106.82,4,4,4,444,Best Customers
28,21,363.95,3,2,2,322,Loyal Customers
21,274,3852.5,3,4,4,344,Best Customers
19,481,13309.039999999999,3,4,4,344,Best Customers
29,52,981.18,3,3,3,333,Best Customers
29,20,355.7,3,2,2,322,Loyal Customers
74,50,1000.39,2,3,3,233,Big Spenders
46,70,1141.5,3,3,3,333,Best Customers
197,8,207.79999999999998,1,1,1,111,Lost Customers
165,5,95.19999999999999,1,1,1,111,Lost Customers
78,57,964.83,2,3,3,233,Big Spenders
357,10,168.0,1,1,1,111,Lost Customers
38,20,437.82,3,2,2,322,Loyal Customers
7,196,3652.25,4,4,4,444,Best Customers
49,121,603.71,3,4,2,342,Lost Customers
15,33,11990.960000000001,4,2,4,424,Loyal Customers
1,22,1.0658141036401503e-14,4,2,1,421,Loyal Customers
310,22,536.21,1,2,2,122,Almost Lost
4,111,2101.39,4,4,4,444,Best Customers
302,16,238.85,1,1,1,111,Lost Customers
7,168,3781.7400000000002,4,4,4,444,Best Customers
260,21,456.9,1,2,2,122,Almost Lost
281,10,131.17,1,1,1,111,Lost Customers
72,20,346.7,2,2,2,222,Almost Lost
22,463,9114.94,3,4,4,344,Best Customers
1,191,4064.9900000000002,4,4,4,444,Best Customers
39,34,519.61,3,2,2,322,Loyal Customers
8,62,1004.72,4,3,3,433,Best Customers
226,28,160.54000000000002,1,2,1,121,Lost Customers
315,11,218.45,1,1,1,111,Lost Customers
35,89,1306.98,3,3,3,333,Best Customers
34,148,595.4,3,4,2,342,Lost Customers
20,120,2753.36,3,4,4,344,Best Customers
72,31,410.72,2,2,2,222,Almost Lost
246,24,415.7,1,2,2,122,Almost Lost
39,15,197.71,3,1,1,311,Loyal Customers
238,22,511.36,1,2,2,122,Almost Lost
2,251,7187.34,4,4,4,444,Best Customers
3,126,1893.95,4,4,4,444,Best Customers
233,97,1982.81,1,3,4,134,Big Spenders
16,12,179.94000000000003,4,1,1,411,Loyal Customers
7,4,144.0,4,1,1,411,Loyal Customers
38,10,214.89999999999998,3,1,1,311,Loyal Customers
28,35,646.68,3,2,2,322,Loyal Customers
189,70,9861.38,1,3,4,134,Big Spenders
316,26,452.84999999999997,1,2,2,122,Almost Lost
91,18,437.6,2,2,2,222,Almost Lost
108,21,418.09999999999997,2,2,2,222,Almost Lost
37,119,3320.2200000000003,3,4,4,344,Best Customers
50,27,618.27,2,2,2,222,Almost Lost
18,214,3683.13,3,4,4,344,Best Customers
9,133,3002.68,4,4,4,444,Best Customers
28,62,1032.58,3,3,3,333,Best Customers
28,65,2581.04,3,3,4,334,Best Customers
189,29,569.5600000000001,1,2,2,122,Almost Lost
58,12,153.12,2,1,1,211,Almost Lost
21,3,739.1999999999999,3,1,3,313,Loyal Customers
78,16,254.18,2,1,1,211,Almost Lost
364,3,-7.5,1,1,1,111,Lost Customers
57,202,3.552713678800501e-15,2,4,1,241,Lost Customers
77,60,1126.85,2,3,3,233,Big Spenders
22,111,2057.99,3,4,4,344,Best Customers
51,65,1193.32,2,3,3,233,Big Spenders
57,21,643.59,2,2,2,222,Almost Lost
30,163,3218.98,3,4,4,344,Best Customers
277,20,315.6,1,2,2,122,Almost Lost
1,105,2291.19,4,4,4,444,Best Customers
84,36,657.25,2,2,3,223,Almost Lost
28,42,355.53,3,2,2,322,Loyal Customers
21,11,177.31,3,1,1,311,Loyal Customers
15,95,3214.81,4,3,4,434,Best Customers
14,92,1339.41,4,3,3,433,Best Customers
1,474,13612.07,4,4,4,444,Best Customers
231,11,180.1,1,1,1,111,Lost Customers
275,18,305.1,1,2,2,122,Almost Lost
105,38,641.13,2,2,2,222,Almost Lost
211,91,2614.32,1,3,4,134,Big Spenders
22,307,6388.35,3,4,4,344,Best Customers
10,230,4478.53,4,4,4,444,Best Customers
3,43,769.61,4,3,3,433,Best Customers
9,64,1270.88,4,3,3,433,Best Customers
56,31,640.5,2,2,2,222,Almost Lost
58,103,2140.63,2,4,4,244,Big Spenders
89,101,1689.18,2,3,4,234,Big Spenders
66,394,5953.25,2,4,4,244,Big Spenders
32,39,671.69,3,2,3,323,Loyal Customers
238,22,486.1,1,2,2,122,Almost Lost
23,53,1174.58,3,3,3,333,Best Customers
114,10,185.9,2,1,1,211,Almost Lost
24,47,1013.26,3,3,3,333,Best Customers
127,24,3344.64,2,2,4,224,Almost Lost
129,31,477.91,2,2,2,222,Almost Lost
33,74,1755.38,3,3,4,334,Best Customers
4,45,1346.97,4,3,3,433,Best Customers
21,128,3669.92,3,4,4,344,Best Customers
154,21,318.05,1,2,2,122,Almost Lost
106,33,603.71,2,2,2,222,Almost Lost
2,20,314.44,4,2,2,422,Loyal Customers
334,9,114.0,1,1,1,111,Lost Customers
321,51,914.53,1,3,3,133,Big Spenders
148,43,2209.85,1,3,4,134,Big Spenders
10,38,601.98,4,2,2,422,Loyal Customers
16,130,3982.72,4,4,4,444,Best Customers
10,56,1152.06,4,3,3,433,Best Customers
18,36,686.05,3,2,3,323,Loyal Customers
29,5,91.68,3,1,1,311,Loyal Customers
10,13,245.1,4,1,1,411,Loyal Customers
0,232,3817.08,4,4,4,444,Best Customers
7,38,4863.88,4,2,4,424,Loyal Customers
324,4,61.75,1,1,1,111,Lost Customers
358,2,-227.44,1,1,1,111,Lost Customers
57,33,620.13,2,2,2,222,Almost Lost
6,168,3743.18,4,4,4,444,Best Customers
150,102,1607.73,1,3,3,133,Big Spenders
9,94,2986.15,4,3,4,434,Best Customers
329,10,225.89999999999998,1,1,1,111,Lost Customers
4,42,610.52,4,2,2,422,Loyal Customers
11,91,1919.31,4,3,4,434,Best Customers
24,45,1331.39,3,3,3,333,Best Customers
41,167,17588.26,3,4,4,344,Best Customers
51,56,1058.67,2,3,3,233,Big Spenders
0,52,862.81,4,3,3,433,Best Customers
14,646,13677.59,4,4,4,444,Best Customers
3,525,12288.22,4,4,4,444,Best Customers
3,362,8221.09,4,4,4,444,Best Customers
7,105,2283.63,4,4,4,444,Best Customers
27,157,2863.08,3,4,4,344,Best Customers
371,7,89.14,1,1,1,111,Lost Customers
113,171,4873.8099999999995,2,4,4,244,Big Spenders
25,72,1247.61,3,3,3,333,Best Customers
205,16,389.01,1,1,2,112,Lost Customers
27,32,1035.8,3,2,3,323,Loyal Customers
120,41,830.96,2,2,3,223,Almost Lost
69,37,869.67,2,2,3,223,Almost Lost
6,27,582.1,4,2,2,422,Loyal Customers
20,43,939.02,3,3,3,333,Best Customers
7,270,4867.99,4,4,4,444,Best Customers
79,53,797.71,2,3,3,233,Big Spenders
19,12,219.0,3,1,1,311,Loyal Customers
63,22,274.7,2,2,1,221,Almost Lost
6,90,2220.84,4,3,4,434,Best Customers
14,348,6814.24,4,4,4,444,Best Customers
291,33,603.42,1,2,2,122,Almost Lost
29,174,2616.32,3,4,4,344,Best Customers
2,257,9294.1,4,4,4,444,Best Customers
96,79,1130.57,2,3,3,233,Big Spenders
22,142,4241.63,3,4,4,344,Best Customers
0,38,848.55,4,2,3,423,Loyal Customers
8,259,4708.86,4,4,4,444,Best Customers
105,21,353.86,2,2,2,222,Almost Lost
3,69,1053.49,4,3,3,433,Best Customers
150,56,980.98,1,3,3,133,Big Spenders
70,19,238.25,2,2,1,221,Almost Lost
4,42,608.1,4,2,2,422,Loyal Customers
2,359,5713.28,4,4,4,444,Best Customers
31,164,2628.98,3,4,4,344,Best Customers
84,57,904.33,2,3,3,233,Big Spenders
3,69,725.07,4,3,3,433,Best Customers
4,53,1031.41,4,3,3,433,Best Customers
370,24,427.8,1,2,2,122,Almost Lost
27,124,2609.1,3,4,4,344,Best Customers
10,141,3947.7,4,4,4,444,Best Customers
70,46,836.33,2,3,3,233,Big Spenders
113,26,453.01,2,2,2,222,Almost Lost
23,277,18793.41,3,4,4,344,Best Customers
179,12,236.26000000000002,1,1,1,111,Lost Customers
233,22,383.95,1,2,2,122,Almost Lost
352,4,110.39999999999999,1,1,1,111,Lost Customers
314,43,779.5699999999999,1,3,3,133,Big Spenders
332,4,234.0,1,1,1,111,Lost Customers
371,11,155.35,1,1,1,111,Lost Customers
77,38,1013.04,2,2,3,223,Almost Lost
63,27,427.6,2,2,2,222,Almost Lost
133,134,546.43,2,4,2,242,Lost Customers
51,229,9120.39,2,4,4,244,Big Spenders
1,103,4196.01,4,4,4,444,Best Customers
0,4642,29072.1,4,4,4,444,Best Customers
3,231,3868.2,4,4,4,444,Best Customers
128,15,275.88,2,1,1,211,Almost Lost
80,53,4366.78,2,3,4,234,Big Spenders
3,230,21024.01,4,4,4,444,Best Customers
235,65,2949.12,1,3,4,134,Big Spenders
249,6,2203.2,1,1,4,114,Lost Customers
86,4,112.07999999999998,2,1,1,211,Almost Lost
15,377,4227.7,4,4,4,444,Best Customers
116,97,2791.59,2,3,4,234,Big Spenders
51,95,1531.44,2,3,3,233,Big Spenders
7,69,1898.52,4,3,4,434,Best Customers
137,18,494.08,2,2,2,222,Almost Lost
316,45,1693.88,1,3,4,134,Big Spenders
3,310,6989.63,4,4,4,444,Best Customers
238,32,1143.6,1,2,3,123,Almost Lost
210,12,1351.45,1,1,3,113,Lost Customers
59,55,892.47,2,3,3,233,Big Spenders
16,67,1351.24,4,3,3,433,Best Customers
19,51,804.23,3,3,3,333,Best Customers
20,159,3868.7,3,4,4,344,Best Customers
20,30,707.72,3,2,3,323,Loyal Customers
4,107,2273.32,4,4,4,444,Best Customers
1,86,1603.87,4,3,3,433,Best Customers
8,59,574.42,4,3,2,432,Lost Customers
2,15,305.71,4,1,2,412,Loyal Customers
9,20,463.66,4,2,2,422,Loyal Customers
64,4,91.85,2,1,1,211,Almost Lost
191,21,324.92,1,2,2,122,Almost Lost
373,2,192.60000000000002,1,1,1,111,Lost Customers
256,25,400.53999999999996,1,2,2,122,Almost Lost
334,24,545.48,1,2,2,122,Almost Lost
52,45,860.41,2,3,3,233,Big Spenders
18,14,430.48,3,1,2,312,Loyal Customers
359,17,194.18,1,1,1,111,Lost Customers
9,8,6977.04,4,1,4,414,Loyal Customers
183,26,412.58,1,2,2,122,Almost Lost
36,28,483.65000000000003,3,2,2,322,Loyal Customers
167,26,484.36,1,2,2,122,Almost Lost
260,31,514.85,1,2,2,122,Almost Lost
44,15,229.64000000000001,3,1,1,311,Loyal Customers
101,2,125.92,2,1,1,211,Almost Lost
147,47,1063.46,1,3,3,133,Big Spenders
95,29,572.2,2,2,2,222,Almost Lost
280,4,166.04,1,1,1,111,Lost Customers
177,16,1517.88,1,1,3,113,Lost Customers
2,59,942.34,4,3,3,433,Best Customers
213,6,92.72,1,1,1,111,Lost Customers
70,47,918.98,2,3,3,233,Big Spenders
74,5,1759.5,2,1,4,214,Almost Lost
59,25,397.12,2,2,2,222,Almost Lost
2,94,1468.1200000000001,4,3,3,433,Best Customers
5,25,430.15000000000003,4,2,2,422,Loyal Customers
2,56,1018.71,4,3,3,433,Best Customers
321,12,253.05,1,1,1,111,Lost Customers
37,39,6748.4,3,2,4,324,Loyal Customers
261,9,215.05,1,1,1,111,Lost Customers
31,27,383.03,3,2,2,322,Loyal Customers
144,24,417.38,1,2,2,122,Almost Lost
282,18,312.38,1,2,2,122,Almost Lost
58,175,2612.86,2,4,4,244,Big Spenders
172,12,134.1,1,1,1,111,Lost Customers
33,123,683.13,3,4,3,343,Best Customers
2,316,5583.62,4,4,4,444,Best Customers
143,116,2714.27,1,4,4,144,Big Spenders
4,439,3876.4,4,4,4,444,Best Customers
69,34,1118.99,2,2,3,223,Almost Lost
65,108,1680.76,2,4,4,244,Big Spenders
28,52,325.96000000000004,3,3,2,332,Lost Customers
266,27,354.09,1,2,2,122,Almost Lost
21,91,871.54,3,3,3,333,Best Customers
30,51,1050.8899999999999,3,3,3,333,Best Customers
96,50,135.18,2,3,1,231,Lost Customers
289,20,299.75,1,2,2,122,Almost Lost
107,84,1881.7,2,3,4,234,Big Spenders
78,115,1289.15,2,4,3,243,Big Spenders
372,3,38.1,1,1,1,111,Lost Customers
7,317,2162.68,4,4,4,444,Best Customers
210,46,1106.4,1,3,3,133,Big Spenders
51,6,504.2,2,1,2,212,Almost Lost
137,3,147.12,2,1,1,211,Almost Lost
25,96,1548.07,3,3,3,333,Best Customers
282,26,559.12,1,2,2,122,Almost Lost
25,551,3986.22,3,4,4,344,Best Customers
185,107,1607.0600000000002,1,4,3,143,Big Spenders
365,2,-14.899999999999999,1,1,1,111,Lost Customers
83,11,380.64,2,1,2,212,Almost Lost
326,66,599.97,1,3,2,132,Lost Customers
281,4,374.0,1,1,2,112,Lost Customers
142,2,343.2300000000001,2,1,2,212,Almost Lost
57,85,2218.02,2,3,4,234,Big Spenders
3,154,1535.77,4,4,3,443,Best Customers
17,49,841.64,3,3,3,333,Best Customers
44,12,552.5699999999999,3,1,2,312,Loyal Customers
275,7,298.0,1,1,2,112,Lost Customers
8,13,1463.04,4,1,3,413,Loyal Customers
24,42,703.47,3,2,3,323,Loyal Customers
87,7,309.05,2,1,2,212,Almost Lost
62,72,1158.27,2,3,3,233,Big Spenders
67,86,1351.09,2,3,3,233,Big Spenders
213,7,313.77,1,1,2,112,Lost Customers
23,82,380.46999999999997,3,3,2,332,Lost Customers
185,3,331.0,1,1,2,112,Lost Customers
30,34,188.14,3,2,1,321,Loyal Customers
41,24,347.3,3,2,2,322,Loyal Customers
204,4,216.5,1,1,1,111,Lost Customers
8,125,16293.1,4,4,4,444,Best Customers
264,10,138.68,1,1,1,111,Lost Customers
17,72,509.58,3,3,2,332,Lost Customers
11,63,2919.81,4,3,4,434,Best Customers
58,4,246.0,2,1,1,211,Almost Lost
39,96,2128.83,3,3,4,334,Best Customers
22,75,3075.04,3,3,4,334,Best Customers
2,24,1662.3,4,2,4,424,Loyal Customers
4,50,2483.63,4,3,4,434,Best Customers
148,22,363.65,1,2,2,122,Almost Lost
138,109,2982.35,2,4,4,244,Big Spenders
127,2,594.0,2,1,2,212,Almost Lost
7,52,1301.44,4,3,3,433,Best Customers
16,28,164.23,4,2,1,421,Loyal Customers
3,741,16389.74,4,4,4,444,Best Customers
160,28,405.38,1,2,2,122,Almost Lost
63,29,176.97,2,2,1,221,Almost Lost
87,31,929.95,2,2,3,223,Almost Lost
4,45,694.05,4,3,3,433,Best Customers
34,84,2062.7000000000003,3,3,4,334,Best Customers
121,9,105.1,2,1,1,211,Almost Lost
77,27,409.9,2,2,2,222,Almost Lost
21,102,33462.81,3,3,4,334,Best Customers
23,107,606.28,3,4,2,342,Lost Customers
1,130,2156.45,4,4,4,444,Best Customers
16,63,1012.9,4,3,3,433,Best Customers
14,120,1504.27,4,4,3,443,Best Customers
25,9,114.14,3,1,1,311,Loyal Customers
63,47,11581.8,2,3,4,234,Big Spenders
45,103,876.29,3,4,3,343,Best Customers
130,75,683.9,2,3,3,233,Big Spenders
300,1,-3.75,1,1,1,111,Lost Customers
35,30,604.51,3,2,2,322,Loyal Customers
287,23,462.95,1,2,2,122,Almost Lost
143,103,1407.29,1,4,3,143,Big Spenders
15,118,2053.7,4,4,4,444,Best Customers
30,219,4143.02,3,4,4,344,Best Customers
1,23,1843.0,4,2,4,424,Loyal Customers
8,65,1042.07,4,3,3,433,Best Customers
5,80,1382.8400000000001,4,3,3,433,Best Customers
9,17,329.85,4,1,2,412,Loyal Customers
0,183,4734.26,4,4,4,444,Best Customers
305,19,108.07,1,2,1,121,Lost Customers
3,244,3979.04,4,4,4,444,Best Customers
6,16,266.39,4,1,1,411,Loyal Customers
7,96,1841.03,4,3,4,434,Best Customers
88,109,771.91,2,4,3,243,Big Spenders
9,10,160.18,4,1,1,411,Loyal Customers
2,33,1194.75,4,2,3,423,Loyal Customers
111,5,135.95,2,1,1,211,Almost Lost
6,151,452.24,4,4,2,442,Lost Customers
3,308,10930.26,4,4,4,444,Best Customers
197,8,144.8,1,1,1,111,Lost Customers
211,22,738.6,1,2,3,123,Almost Lost
155,9,39.239999999999995,1,1,1,111,Lost Customers
155,24,7092.06,1,2,4,124,Almost Lost
29,20,372.21999999999997,3,2,2,322,Loyal Customers
239,34,377.2,1,2,2,122,Almost Lost
18,4,97.5,3,1,1,311,Loyal Customers
0,78,1215.6200000000001,4,3,3,433,Best Customers
73,30,545.0,2,2,2,222,Almost Lost
291,92,535.32,1,3,2,132,Lost Customers
2,68,6854.51,4,3,4,434,Best Customers
30,13,409.5,3,1,2,312,Loyal Customers
22,31,503.76,3,2,2,322,Loyal Customers
22,27,414.76,3,2,2,322,Loyal Customers
3,73,902.22,4,3,3,433,Best Customers
77,5,200.72,2,1,1,211,Almost Lost
21,67,1197.94,3,3,3,333,Best Customers
195,28,455.88,1,2,2,122,Almost Lost
106,31,534.85,2,2,2,222,Almost Lost
3,342,9797.92,4,4,4,444,Best Customers
317,7,120.94999999999999,1,1,1,111,Lost Customers
105,6,149.05,2,1,1,211,Almost Lost
11,409,5613.43,4,4,4,444,Best Customers
173,29,468.95,1,2,2,122,Almost Lost
55,4,81.57,2,1,1,211,Almost Lost
322,15,178.46999999999997,1,1,1,111,Lost Customers
371,3,50.550000000000004,1,1,1,111,Lost Customers
8,107,1311.6200000000001,4,4,3,443,Best Customers
0,222,4786.99,4,4,4,444,Best Customers
2,124,3365.43,4,4,4,444,Best Customers
52,176,3346.28,2,4,4,244,Big Spenders
72,47,789.89,2,3,3,233,Big Spenders
6,1,204.0,4,1,1,411,Loyal Customers
15,459,7272.75,4,4,4,444,Best Customers
3,134,2584.4,4,4,4,444,Best Customers
63,40,689.9,2,2,3,223,Almost Lost
0,43,936.15,4,3,3,433,Best Customers
113,26,6912.0,2,2,4,224,Almost Lost
22,47,659.68,3,3,3,333,Best Customers
30,10,1247.5,3,1,3,313,Loyal Customers
10,99,799.48,4,3,3,433,Best Customers
38,75,996.52,3,3,3,333,Best Customers
356,11,190.55,1,1,1,111,Lost Customers
54,37,642.77,2,2,2,222,Almost Lost
57,30,886.63,2,2,3,223,Almost Lost
137,48,881.07,2,3,3,233,Big Spenders
79,28,908.46,2,2,3,223,Almost Lost
8,43,676.99,4,3,3,433,Best Customers
253,14,471.57,1,1,2,112,Lost Customers
290,33,560.47,1,2,2,122,Almost Lost
98,18,305.28000000000003,2,2,2,222,Almost Lost
30,35,629.31,3,2,2,322,Loyal Customers
31,196,3079.1,3,4,4,344,Best Customers
13,137,1805.91,4,4,4,444,Best Customers
63,14,656.6800000000001,2,1,3,213,Almost Lost
8,422,5684.61,4,4,4,444,Best Customers
211,18,348.15000000000003,1,2,2,122,Almost Lost
63,78,1201.96,2,3,3,233,Big Spenders
24,8,271.40000000000003,3,1,1,311,Loyal Customers
249,8,183.4,1,1,1,111,Lost Customers
253,15,307.53,1,1,2,112,Lost Customers
71,10,248.61,2,1,1,211,Almost Lost
190,11,346.98,1,1,2,112,Lost Customers
12,69,1119.49,4,3,3,433,Best Customers
372,14,205.86,1,1,1,111,Lost Customers
23,49,430.9,3,3,2,332,Lost Customers
81,15,115.46000000000001,2,1,1,211,Almost Lost
9,2,344.0,4,1,2,412,Loyal Customers
0,470,3717.82,4,4,4,444,Best Customers
191,9,228.8,1,1,1,111,Lost Customers
266,7,177.15,1,1,1,111,Lost Customers
129,22,919.61,2,2,3,223,Almost Lost
0,112,729.27,4,4,3,443,Best Customers
0,380,12432.28,4,4,4,444,Best Customers
3,6,220.10000000000002,4,1,1,411,Loyal Customers
178,6,58.08,1,1,1,111,Lost Customers
0,1061,27964.48,4,4,4,444,Best Customers
125,75,3595.48,2,3,4,234,Big Spenders
3,18,303.75,4,2,2,422,Loyal Customers
157,29,272.38,1,2,1,121,Lost Customers
2,1857,57385.88,4,4,4,444,Best Customers
8,161,8689.39,4,4,4,444,Best Customers
20,24,319.82,3,2,2,322,Loyal Customers
70,26,459.83,2,2,2,222,Almost Lost
266,170,7741.47,1,4,4,144,Big Spenders
20,30,1708.8600000000001,3,2,4,324,Loyal Customers
70,6,74.39999999999999,2,1,1,211,Almost Lost
32,437,5893.32,3,4,4,344,Best Customers
0,605,28658.88,4,4,4,444,Best Customers
98,1,207.35999999999999,2,1,1,211,Almost Lost
233,8,101.19,1,1,1,111,Lost Customers
0,310,6336.29,4,4,4,444,Best Customers
39,8,243.94,3,1,1,311,Loyal Customers
2,20,1098.48,4,2,3,423,Loyal Customers
128,2,59.5,2,1,1,211,Almost Lost
43,60,1524.07,3,3,3,333,Best Customers
372,10,350.06,1,1,2,112,Lost Customers
